0,retrived_at,province_id,city,state,country,pollution_aqi,polution_main,weather_tp,weather_pr,weather_hu,weather_ws,weather_wd
47,4/27/2023 13:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,89,p2,35,1010,49,2.06,0
48,4/27/2023 13:16,TH-13,Khlong Luang,Pathum Thani,Thailand,109,p2,36,1009,67,2.06,0
49,4/27/2023 13:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,156,p2,35,1008,36,4.01,166
50,4/27/2023 13:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,110,p2,39,1007,34,3.34,172
51,4/27/2023 13:18,TH-16,Ban Mi,Lop Buri,Thailand,70,p2,40,1007,35,3.18,211
52,4/27/2023 13:19,TH-20,Na Kluea,Chon Buri,Thailand,99,p2,34,1009,62,1.9,216
53,4/27/2023 13:19,TH-21,Ban Khai,Rayong,Thailand,93,p2,35,1009,53,3.97,167
54,4/27/2023 13:20,TH-50,Chiang Mai,Chiang Mai,Thailand,92,p2,35,991,43,4.63,210
55,4/27/2023 13:20,TH-52,Hang Chat,Lampang,Thailand,92,p2,37,1008,40,1.47,140
56,4/27/2023 14:15,TH-10,Phra Nakhon,Bangkok,Thailand,107,p2,35,1007,40,4.6,176
57,4/27/2023 14:15,TH-11,Bang Phli,Samut Prakan,Thailand,120,p2,35,1008,43,2.57,150
58,4/27/2023 14:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,95,p2,35,1008,46,1.54,110
59,4/27/2023 14:17,TH-13,Khlong Luang,Pathum Thani,Thailand,99,p2,36,1007,65,1.54,110
60,4/27/2023 14:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,160,p2,35,1006,33,3.54,175
61,4/27/2023 14:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,99,p2,35,1006,32,2.92,176
62,4/27/2023 14:18,TH-16,Ban Mi,Lop Buri,Thailand,70,p2,38,1007,35,2.51,253
63,4/27/2023 14:19,TH-20,Na Kluea,Chon Buri,Thailand,112,p2,34,1008,61,4.86,237
64,4/27/2023 14:19,TH-21,Ban Khai,Rayong,Thailand,89,p2,35,1008,52,4.81,181
65,4/27/2023 14:20,TH-50,Chiang Mai,Chiang Mai,Thailand,92,p2,36,990,37,4.63,190
66,4/27/2023 14:20,TH-52,Hang Chat,Lampang,Thailand,86,p2,39,1007,35,1.33,176
