,retrived_at,province_id,city,state,country,pollution_aqi,polution_main,weather_tp,weather_pr,weather_hu,weather_ws,weather_wd
1,4/28/2023 4:15,TH-10,Phra Nakhon,Bangkok,Thailand,89,p2,30,1008,62,3.35,205
2,4/28/2023 4:15,TH-11,Bang Phli,Samut Prakan,Thailand,68,p2,29,1008,79,1.54,200
3,4/28/2023 4:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,86,p2,29,1008,75,0,0
4,4/28/2023 4:17,TH-13,Khlong Luang,Pathum Thani,Thailand,94,p2,29,1009,87,0.45,158
5,4/28/2023 4:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,107,p2,26,1008,76,1.99,211
6,4/28/2023 4:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,127,p2,26,1008,76,1.23,189
7,4/28/2023 4:18,TH-16,Ban Mi,Lop Buri,Thailand,95,p2,29,1008,76,2.04,187
8,4/28/2023 4:19,TH-20,Na Kluea,Chon Buri,Thailand,76,p2,29,1008,77,2.66,211
9,4/28/2023 4:19,TH-21,Ban Khai,Rayong,Thailand,78,p2,27,1009,84,1.26,254
10,4/28/2023 4:20,TH-50,Chiang Mai,Chiang Mai,Thailand,111,p2,27,1009,65,1.03,210
11,4/28/2023 4:20,TH-52,Hang Chat,Lampang,Thailand,130,p2,24,1009,76,0.25,244
12,4/28/2023 5:15,TH-10,Phra Nakhon,Bangkok,Thailand,83,p2,29,1008,62,3.09,201
13,4/28/2023 5:15,TH-11,Bang Phli,Samut Prakan,Thailand,78,p2,28,1008,83,2.06,60
14,4/28/2023 5:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,80,p2,29,1009,76,2.57,80
15,4/28/2023 5:16,TH-13,Khlong Luang,Pathum Thani,Thailand,77,p2,28,1009,87,2.57,80
16,4/28/2023 5:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,130,p2,26,1008,76,1.31,197
17,4/28/2023 5:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,127,p2,26,1008,77,1.57,181
