,retrived_at,province_id,city,state,country,pollution_aqi,polution_main,weather_tp,weather_pr,weather_hu,weather_ws,weather_wd
0,4/27/2023 17:15,TH-10,Phra Nakhon,Bangkok,Thailand,107,p2,34,1005,49,5.52,194
1,4/27/2023 17:15,TH-11,Bang Phli,Samut Prakan,Thailand,107,p2,35,1006,46,4.63,190
2,4/27/2023 17:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,95,p2,34,1006,52,6.69,250
3,4/27/2023 17:17,TH-13,Khlong Luang,Pathum Thani,Thailand,96,p2,35,1006,77,6.69,250
4,4/27/2023 17:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,138,p2,36,1004,35,2.65,133
5,4/27/2023 17:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,99,p2,36,1005,38,3,127
6,4/27/2023 17:18,TH-16,Ban Mi,Lop Buri,Thailand,68,p2,36,1005,38,3.73,85
7,4/27/2023 17:19,TH-20,Na Kluea,Chon Buri,Thailand,147,p2,33,1006,61,5.85,208
8,4/27/2023 17:19,TH-21,Ban Khai,Rayong,Thailand,97,p2,32,1007,65,4.69,196
9,4/27/2023 17:20,TH-50,Chiang Mai,Chiang Mai,Thailand,95,p2,32,981,37,2.06,190
10,4/27/2023 17:20,TH-52,Hang Chat,Lampang,Thailand,86,p2,32,1005,48,1.4,218
11,4/27/2023 18:15,TH-10,Phra Nakhon,Bangkok,Thailand,107,p2,34,1006,48,5.46,190
12,4/27/2023 18:15,TH-11,Bang Phli,Samut Prakan,Thailand,87,p2,33,1006,52,4.12,220
13,4/27/2023 18:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,90,p2,34,1006,52,2.06,260
14,4/27/2023 18:17,TH-13,Khlong Luang,Pathum Thani,Thailand,98,p2,34,1007,52,2.06,260
15,4/27/2023 18:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,88,p2,34,1005,37,1.88,150
16,4/27/2023 18:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,99,p2,34,1005,42,2.21,91
17,4/27/2023 18:18,TH-16,Ban Mi,Lop Buri,Thailand,68,p2,34,1005,43,3.94,96
18,4/27/2023 18:19,TH-20,Na Kluea,Chon Buri,Thailand,147,p2,31,1007,64,5.1,202
19,4/27/2023 18:19,TH-21,Ban Khai,Rayong,Thailand,97,p2,31,1007,71,3.63,196
20,4/27/2023 18:20,TH-50,Chiang Mai,Chiang Mai,Thailand,95,p2,32,970,40,1.58,133
21,4/27/2023 18:20,TH-52,Hang Chat,Lampang,Thailand,95,p2,33,1006,51,1.76,228
22,4/27/2023 19:15,TH-10,Phra Nakhon,Bangkok,Thailand,107,p2,33,1006,39,5.57,180
23,4/27/2023 19:15,TH-11,Bang Phli,Samut Prakan,Thailand,76,p2,32,1008,55,4.12,200
24,4/27/2023 19:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,81,p2,33,1007,50,2.06,210
25,4/27/2023 19:17,TH-13,Khlong Luang,Pathum Thani,Thailand,79,p2,33,1008,58,2.06,210
26,4/27/2023 19:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,97,p2,32,1006,43,2.36,191
27,4/27/2023 19:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,93,p2,31,1006,43,1.78,80
28,4/27/2023 19:18,TH-16,Ban Mi,Lop Buri,Thailand,74,p2,31,1006,45,2.76,93
29,4/27/2023 19:19,TH-20,Na Kluea,Chon Buri,Thailand,83,p2,31,1007,67,5.01,190
30,4/27/2023 19:19,TH-21,Ban Khai,Rayong,Thailand,74,p2,30,1009,72,3.19,196
31,4/27/2023 19:20,TH-50,Chiang Mai,Chiang Mai,Thailand,97,p2,34,1007,41,1.54,200
32,4/27/2023 19:20,TH-52,Hang Chat,Lampang,Thailand,99,p2,32,1006,60,0.08,219
33,4/27/2023 20:15,TH-10,Phra Nakhon,Bangkok,Thailand,107,p2,32,1007,41,5.62,184
34,4/27/2023 20:15,TH-11,Bang Phli,Samut Prakan,Thailand,74,p2,31,1008,62,4.12,210
35,4/27/2023 20:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,84,p2,32,1008,49,2.06,200
36,4/27/2023 20:16,TH-13,Khlong Luang,Pathum Thani,Thailand,130,p2,31,1009,62,2.06,200
37,4/27/2023 20:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,95,p2,31,1007,47,3.33,203
38,4/27/2023 20:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,97,p2,31,1007,45,1.23,162
39,4/27/2023 20:18,TH-16,Ban Mi,Lop Buri,Thailand,74,p2,31,1007,45,1.92,80
40,4/27/2023 20:19,TH-20,Na Kluea,Chon Buri,Thailand,80,p2,30,1008,69,4.81,190
41,4/27/2023 20:19,TH-21,Ban Khai,Rayong,Thailand,76,p2,29,1010,77,2.78,200
