,retrived_at,province_id,city,state,country,pollution_aqi,polution_main,weather_tp,weather_pr,weather_hu,weather_ws,weather_wd
1,4/27/2023 18:15,TH-10,Phra Nakhon,Bangkok,Thailand,107,p2,34,1006,48,5.46,190
2,4/27/2023 18:15,TH-11,Bang Phli,Samut Prakan,Thailand,87,p2,33,1006,52,4.12,220
3,4/27/2023 18:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,90,p2,34,1006,52,2.06,260
4,4/27/2023 18:17,TH-13,Khlong Luang,Pathum Thani,Thailand,98,p2,34,1007,52,2.06,260
5,4/27/2023 18:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,88,p2,34,1005,37,1.88,150
6,4/27/2023 18:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,99,p2,34,1005,42,2.21,91
7,4/27/2023 18:18,TH-16,Ban Mi,Lop Buri,Thailand,68,p2,34,1005,43,3.94,96
8,4/27/2023 18:19,TH-20,Na Kluea,Chon Buri,Thailand,147,p2,31,1007,64,5.1,202
9,4/27/2023 18:19,TH-21,Ban Khai,Rayong,Thailand,97,p2,31,1007,71,3.63,196
10,4/27/2023 18:20,TH-50,Chiang Mai,Chiang Mai,Thailand,95,p2,32,970,40,1.58,133
11,4/27/2023 18:20,TH-52,Hang Chat,Lampang,Thailand,95,p2,33,1006,51,1.76,228
12,4/27/2023 19:15,TH-10,Phra Nakhon,Bangkok,Thailand,107,p2,33,1006,39,5.57,180
13,4/27/2023 19:15,TH-11,Bang Phli,Samut Prakan,Thailand,76,p2,32,1008,55,4.12,200
14,4/27/2023 19:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,81,p2,33,1007,50,2.06,210
15,4/27/2023 19:17,TH-13,Khlong Luang,Pathum Thani,Thailand,79,p2,33,1008,58,2.06,210
16,4/27/2023 19:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,97,p2,32,1006,43,2.36,191
17,4/27/2023 19:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,93,p2,31,1006,43,1.78,80
18,4/27/2023 19:18,TH-16,Ban Mi,Lop Buri,Thailand,74,p2,31,1006,45,2.76,93
19,4/27/2023 19:19,TH-20,Na Kluea,Chon Buri,Thailand,83,p2,31,1007,67,5.01,190
20,4/27/2023 19:19,TH-21,Ban Khai,Rayong,Thailand,74,p2,30,1009,72,3.19,196
21,4/27/2023 19:20,TH-50,Chiang Mai,Chiang Mai,Thailand,97,p2,34,1007,41,1.54,200
22,4/27/2023 19:20,TH-52,Hang Chat,Lampang,Thailand,99,p2,32,1006,60,0.08,219
23,4/27/2023 20:15,TH-10,Phra Nakhon,Bangkok,Thailand,107,p2,32,1007,41,5.62,184
24,4/27/2023 20:15,TH-11,Bang Phli,Samut Prakan,Thailand,74,p2,31,1008,62,4.12,210
25,4/27/2023 20:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,84,p2,32,1008,49,2.06,200
26,4/27/2023 20:16,TH-13,Khlong Luang,Pathum Thani,Thailand,130,p2,31,1009,62,2.06,200
27,4/27/2023 20:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,95,p2,31,1007,47,3.33,203
28,4/27/2023 20:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,97,p2,31,1007,45,1.23,162
29,4/27/2023 20:18,TH-16,Ban Mi,Lop Buri,Thailand,74,p2,31,1007,45,1.92,80
30,4/27/2023 20:19,TH-20,Na Kluea,Chon Buri,Thailand,80,p2,30,1008,69,4.81,190
31,4/27/2023 20:19,TH-21,Ban Khai,Rayong,Thailand,76,p2,29,1010,77,2.78,200
32,4/27/2023 20:20,TH-50,Chiang Mai,Chiang Mai,Thailand,99,p2,33,1008,43,3.6,200
33,4/27/2023 20:20,TH-52,Hang Chat,Lampang,Thailand,109,p2,27,1008,63,1.6,199
34,4/27/2023 21:15,TH-10,Phra Nakhon,Bangkok,Thailand,120,p2,32,1008,41,5.52,189
35,4/27/2023 21:15,TH-11,Bang Phli,Samut Prakan,Thailand,75,p2,31,1009,62,2.57,150
36,4/27/2023 21:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,104,p2,32,1009,51,3.6,40
37,4/27/2023 21:17,TH-13,Khlong Luang,Pathum Thani,Thailand,140,p2,31,1010,62,3.6,40
38,4/27/2023 21:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,76,p2,30,1008,53,3.66,208
39,4/27/2023 21:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,97,p2,31,1008,48,3.04,197
40,4/27/2023 21:18,TH-16,Ban Mi,Lop Buri,Thailand,74,p2,31,1007,46,1.3,157
41,4/27/2023 21:19,TH-20,Na Kluea,Chon Buri,Thailand,80,p2,30,1009,71,4.75,195
42,4/27/2023 21:19,TH-21,Ban Khai,Rayong,Thailand,76,p2,29,1010,79,2.98,187
43,4/27/2023 21:20,TH-50,Chiang Mai,Chiang Mai,Thailand,92,p2,31,1009,45,3.09,200
44,4/27/2023 21:20,TH-52,Hang Chat,Lampang,Thailand,123,p2,26,1009,66,1.8,230
45,4/27/2023 22:15,TH-10,Phra Nakhon,Bangkok,Thailand,112,p2,31,1009,42,5.27,189
46,4/27/2023 22:15,TH-11,Bang Phli,Samut Prakan,Thailand,76,p2,30,1010,66,3.6,90
47,4/27/2023 22:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,102,p2,31,1010,56,5.66,90
48,4/27/2023 22:17,TH-13,Khlong Luang,Pathum Thani,Thailand,84,p2,31,1010,67,5.66,90
49,4/27/2023 22:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,92,p2,29,1009,58,3.14,199
50,4/27/2023 22:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,127,p2,31,1009,54,3.05,204
51,4/27/2023 22:18,TH-16,Ban Mi,Lop Buri,Thailand,89,p2,31,1009,49,2.94,197
52,4/27/2023 22:19,TH-20,Na Kluea,Chon Buri,Thailand,85,p2,29,1009,72,4.49,190
53,4/27/2023 22:19,TH-21,Ban Khai,Rayong,Thailand,89,p2,29,1011,72,2.67,188
54,4/27/2023 22:20,TH-50,Chiang Mai,Chiang Mai,Thailand,102,p2,30,1009,51,3.09,210
55,4/27/2023 22:20,TH-52,Hang Chat,Lampang,Thailand,128,p2,25,1010,71,0.87,163
56,4/27/2023 23:15,TH-10,Phra Nakhon,Bangkok,Thailand,108,p2,29,1009,44,4.67,195
