,retrived_at,province_id,city,state,country,pollution_aqi,polution_main,weather_tp,weather_pr,weather_hu,weather_ws,weather_wd
0,5/2/2023 5:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,91,p2,29,1008,60,2.75,203
1,5/2/2023 5:15:59,TH-11,Bang Phli,Samut Prakan,Thailand,70,p2,29,1008,79,2.06,90
2,5/2/2023 5:16:29,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,70,p2,29,1008,79,1.03,0
3,5/2/2023 5:17:00,TH-13,Khlong Luang,Pathum Thani,Thailand,84,p2,28,1008,92,1.03,0
4,5/2/2023 5:17:31,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,116,p2,27,1008,78,2.13,195
5,5/2/2023 5:18:03,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,99,p2,27,1008,77,1.68,187
6,5/2/2023 5:18:33,TH-16,Ban Mi,Lop Buri,Thailand,78,p2,29,1008,73,2.33,198
7,5/2/2023 5:19:04,TH-20,Na Kluea,Chon Buri,Thailand,80,p2,28,1008,79,2.98,219
8,5/2/2023 5:19:35,TH-21,Ban Khai,Rayong,Thailand,53,p2,27,1009,92,0.99,219
9,5/2/2023 5:20:06,TH-50,Chiang Mai,Chiang Mai,Thailand,92,p2,26,1010,65,2.57,360
10,5/2/2023 5:20:37,TH-52,Hang Chat,Lampang,Thailand,166,p2,24,1008,74,0.94,329
11,5/2/2023 6:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,91,p2,29,1008,57,2.56,200
12,5/2/2023 6:15:58,TH-11,Bang Phli,Samut Prakan,Thailand,68,p2,28,1008,83,2.06,0
13,5/2/2023 6:16:29,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,83,p2,28,1008,77,2.06,60
14,5/2/2023 6:17:00,TH-13,Khlong Luang,Pathum Thani,Thailand,88,p2,28,1009,91,2.06,60
15,5/2/2023 6:17:31,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,111,p2,27,1008,79,1.35,204
16,5/2/2023 6:18:02,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,99,p2,27,1008,78,1.45,189
17,5/2/2023 6:18:32,TH-16,Ban Mi,Lop Buri,Thailand,78,p2,29,1008,74,2.32,187
18,5/2/2023 6:19:03,TH-20,Na Kluea,Chon Buri,Thailand,80,p2,27,1008,81,2.72,210
19,5/2/2023 6:19:35,TH-21,Ban Khai,Rayong,Thailand,53,p2,27,1009,96,0.79,197
20,5/2/2023 6:20:06,TH-50,Chiang Mai,Chiang Mai,Thailand,94,p2,24,1010,78,2.57,340
21,5/2/2023 6:20:36,TH-52,Hang Chat,Lampang,Thailand,168,p2,24,1009,74,0.55,299
22,5/2/2023 7:15:28,TH-10,Phra Nakhon,Bangkok,Thailand,88,p2,30,1009,61,2.6,191
23,5/2/2023 7:15:59,TH-11,Bang Phli,Samut Prakan,Thailand,81,p2,29,1009,83,1.54,30
24,5/2/2023 7:16:30,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,93,p2,30,1009,79,1.03,0
25,5/2/2023 7:17:01,TH-13,Khlong Luang,Pathum Thani,Thailand,78,p2,29,1010,91,1.03,0
26,5/2/2023 7:17:32,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,118,p2,27,1009,73,1.36,202
27,5/2/2023 7:18:03,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,112,p2,27,1009,72,1.87,189
