0,retrived_at,province_id,city,state,country,pollution_aqi,polution_main,weather_tp,weather_pr,weather_hu,weather_ws,weather_wd
55,4/27/2023 14:20,TH-50,Chiang Mai,Chiang Mai,Thailand,92,p2,36,990,37,4.63,190
56,4/27/2023 14:20,TH-52,Hang Chat,Lampang,Thailand,86,p2,39,1007,35,1.33,176
57,4/27/2023 15:15,TH-10,Phra Nakhon,Bangkok,Thailand,107,p2,36,1006,45,5.69,187
58,4/27/2023 15:15,TH-11,Bang Phli,Samut Prakan,Thailand,140,p2,36,1007,49,3.6,190
59,4/27/2023 15:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,110,p2,37,1007,45,2.06,0
60,4/27/2023 15:17,TH-13,Khlong Luang,Pathum Thani,Thailand,92,p2,37,1007,62,2.06,0
61,4/27/2023 15:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,168,p2,35,1005,32,3.57,171
62,4/27/2023 15:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,99,p2,35,1005,31,2.5,168
63,4/27/2023 15:18,TH-16,Ban Mi,Lop Buri,Thailand,70,p2,38,1007,35,2.51,253
64,4/27/2023 15:19,TH-20,Na Kluea,Chon Buri,Thailand,112,p2,33,1007,62,4.02,221
65,4/27/2023 15:19,TH-21,Ban Khai,Rayong,Thailand,89,p2,33,1007,59,4.64,188
66,4/27/2023 15:20,TH-50,Chiang Mai,Chiang Mai,Thailand,88,p2,37,988,36,4.63,160
