,retrived_at,province_id,city,state,country,pollution_aqi,polution_main,weather_tp,weather_pr,weather_hu,weather_ws,weather_wd
1,5/1/2023 17:15,TH-10,Phra Nakhon,Bangkok,Thailand,86,p2,36,1005,45,2.11,165
2,5/1/2023 17:15,TH-11,Bang Phli,Samut Prakan,Thailand,74,p2,35,1005,46,3.6,190
3,5/1/2023 17:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,83,p2,36,1005,48,1.03,0
4,5/1/2023 17:17,TH-13,Khlong Luang,Pathum Thani,Thailand,67,p2,36,1006,48,1.03,0
5,5/1/2023 17:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,86,p2,36,1005,40,2.51,188
6,5/1/2023 17:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,78,p2,34,1005,40,2.16,171
7,5/1/2023 17:18,TH-16,Ban Mi,Lop Buri,Thailand,59,p2,36,1004,36,2.73,163
8,5/1/2023 17:19,TH-20,Na Kluea,Chon Buri,Thailand,93,p2,32,1006,63,4.27,202
9,5/1/2023 17:19,TH-21,Ban Khai,Rayong,Thailand,53,p2,32,1007,72,3.94,190
10,5/1/2023 17:20,TH-50,Chiang Mai,Chiang Mai,Thailand,67,p2,34,1006,37,3.6,180
11,5/1/2023 17:20,TH-52,Hang Chat,Lampang,Thailand,86,p2,36,1004,37,2.56,159
12,5/1/2023 18:15,TH-10,Phra Nakhon,Bangkok,Thailand,86,p2,35,1005,46,3.88,176
13,5/1/2023 18:15,TH-11,Bang Phli,Samut Prakan,Thailand,73,p2,34,1005,46,4.63,190
14,5/1/2023 18:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,86,p2,35,1005,51,2.57,150
15,5/1/2023 18:17,TH-13,Khlong Luang,Pathum Thani,Thailand,65,p2,34,1006,54,2.57,150
16,5/1/2023 18:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,97,p2,32,1005,44,2.56,176
17,5/1/2023 18:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,78,p2,32,1005,41,1.98,142
