,retrived_at,province_id,city,state,country,pollution_aqi,polution_main,weather_tp,weather_pr,weather_hu,weather_ws,weather_wd
0,4/26/2023 13:15,TH-10,Phra Nakhon,Bangkok,Thailand,80,p2,26,1008,46,3.36,160
1,4/26/2023 13:15,TH-11,Bang Phli,Samut Prakan,Thailand,41,p2,26,1010,83,2.57,200
2,4/26/2023 13:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,29,p2,28,1011,78,4.63,190
3,4/26/2023 13:17,TH-13,Khlong Luang,Pathum Thani,Thailand,33,p2,29,1011,89,4.63,190
4,4/26/2023 13:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,94,p2,30,1007,44,0.85,146
5,4/26/2023 13:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,83,p2,37,1007,42,1.84,201
6,4/26/2023 13:18,TH-16,Ban Mi,Lop Buri,Thailand,59,p2,37,1007,37,1.91,92
7,4/26/2023 13:19,TH-20,Na Kluea,Chon Buri,Thailand,66,p2,31,1008,56,1.99,120
8,4/26/2023 13:19,TH-21,Ban Khai,Rayong,Thailand,53,p2,31,1009,67,3.15,139
9,4/26/2023 13:20,TH-50,Chiang Mai,Chiang Mai,Thailand,153,p2,37,989,36,2.57,0
10,4/26/2023 13:20,TH-52,Hang Chat,Lampang,Thailand,119,p2,36,1006,39,3.13,139
11,4/26/2023 14:15,TH-10,Phra Nakhon,Bangkok,Thailand,78,p2,28,1007,49,4.1,171
12,4/26/2023 14:15,TH-11,Bang Phli,Samut Prakan,Thailand,53,p2,26,1008,83,0.51,0
13,4/26/2023 14:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,23,p2,29,1009,65,2.06,170
14,4/26/2023 14:17,TH-13,Khlong Luang,Pathum Thani,Thailand,25,p2,30,1009,82,2.06,170
15,4/26/2023 14:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,70,p2,31,1006,42,1.88,145
16,4/26/2023 14:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,78,p2,37,1006,40,1.69,177
17,4/26/2023 14:18,TH-16,Ban Mi,Lop Buri,Thailand,59,p2,37,1005,37,2.1,130
18,4/26/2023 14:19,TH-20,Na Kluea,Chon Buri,Thailand,57,p2,31,1007,58,2.58,141
19,4/26/2023 14:19,TH-21,Ban Khai,Rayong,Thailand,57,p2,31,1008,63,3.79,160
20,4/26/2023 14:20,TH-50,Chiang Mai,Chiang Mai,Thailand,146,p2,38,988,33,3.09,150
21,4/26/2023 14:20,TH-52,Hang Chat,Lampang,Thailand,97,p2,38,1005,37,1.96,165
22,4/26/2023 15:15,TH-10,Phra Nakhon,Bangkok,Thailand,78,p2,30,1005,56,3.14,155
23,4/26/2023 15:15,TH-11,Bang Phli,Samut Prakan,Thailand,59,p2,31,1006,53,3.59,166
24,4/26/2023 15:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,29,p2,30,1008,60,1.54,0
25,4/26/2023 15:17,TH-13,Khlong Luang,Pathum Thani,Thailand,29,p2,31,1008,80,1.54,0
26,4/26/2023 15:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,65,p2,31,1005,41,3,133
27,4/26/2023 15:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,78,p2,37,1005,41,2.57,121
28,4/26/2023 15:18,TH-16,Ban Mi,Lop Buri,Thailand,59,p2,37,1005,40,2.81,126
29,4/26/2023 15:19,TH-20,Na Kluea,Chon Buri,Thailand,57,p2,30,1006,60,4.21,158
30,4/26/2023 15:19,TH-21,Ban Khai,Rayong,Thailand,57,p2,29,1008,70,3.99,168
31,4/26/2023 15:20,TH-50,Chiang Mai,Chiang Mai,Thailand,131,p2,35,988,43,8.23,160
32,4/26/2023 15:20,TH-52,Hang Chat,Lampang,Thailand,82,p2,36,1005,22,1.7,311
33,4/26/2023 16:15,TH-10,Phra Nakhon,Bangkok,Thailand,78,p2,31,1004,44,3.6,156
34,4/26/2023 16:15,TH-11,Bang Phli,Samut Prakan,Thailand,59,p2,27,1006,74,1.54,310
35,4/26/2023 16:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,33,p2,31,1007,60,1.54,200
36,4/26/2023 16:16,TH-13,Khlong Luang,Pathum Thani,Thailand,31,p2,33,1007,66,1.54,200
37,4/26/2023 16:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,82,p2,36,1004,42,3.78,129
38,4/26/2023 16:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,78,p2,37,1004,39,1.85,115
39,4/26/2023 16:18,TH-16,Ban Mi,Lop Buri,Thailand,59,p2,37,1004,38,0.53,160
40,4/26/2023 16:19,TH-20,Na Kluea,Chon Buri,Thailand,68,p2,30,1005,60,2.96,147
41,4/26/2023 16:19,TH-21,Ban Khai,Rayong,Thailand,53,p2,29,1007,70,2.28,122
42,4/26/2023 16:20,TH-50,Chiang Mai,Chiang Mai,Thailand,117,p2,32,982,50,7.2,180
43,4/26/2023 16:20,TH-52,Hang Chat,Lampang,Thailand,69,p2,32,1007,75,3.13,310
44,4/26/2023 17:15,TH-10,Phra Nakhon,Bangkok,Thailand,76,p2,31,1004,44,4.08,165
45,4/26/2023 17:15,TH-11,Bang Phli,Samut Prakan,Thailand,65,p2,32,1005,53,3.68,169
46,4/26/2023 17:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,45,p2,32,1006,64,1.54,160
47,4/26/2023 17:17,TH-13,Khlong Luang,Pathum Thani,Thailand,37,p2,33,1007,68,1.54,160
48,4/26/2023 17:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,114,p2,34,1004,44,3.3,156
49,4/26/2023 17:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,80,p2,36,1004,41,2.73,162
50,4/26/2023 17:18,TH-16,Ban Mi,Lop Buri,Thailand,59,p2,36,1003,37,1.22,230
51,4/26/2023 17:19,TH-20,Na Kluea,Chon Buri,Thailand,70,p2,31,1005,64,3.39,162
52,4/26/2023 17:19,TH-21,Ban Khai,Rayong,Thailand,51,p2,30,1007,79,2.52,128
53,4/26/2023 17:20,TH-50,Chiang Mai,Chiang Mai,Thailand,121,p2,30,979,47,6.17,240
54,4/26/2023 17:20,TH-52,Hang Chat,Lampang,Thailand,74,p2,26,1006,76,4.14,241
55,4/26/2023 18:15,TH-10,Phra Nakhon,Bangkok,Thailand,78,p2,30,1005,63,4.71,175
56,4/26/2023 18:15,TH-11,Bang Phli,Samut Prakan,Thailand,72,p2,31,1005,57,4.08,181
57,4/26/2023 18:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,59,p2,31,1007,65,2.57,170
58,4/26/2023 18:17,TH-13,Khlong Luang,Pathum Thani,Thailand,29,p2,32,1008,69,2.57,170
59,4/26/2023 18:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,102,p2,34,1004,46,3.23,164
60,4/26/2023 18:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,80,p2,33,1004,44,2.99,165
61,4/26/2023 18:18,TH-16,Ban Mi,Lop Buri,Thailand,59,p2,33,1004,39,1.53,173
62,4/26/2023 18:19,TH-20,Na Kluea,Chon Buri,Thailand,70,p2,30,1006,68,3.37,171
63,4/26/2023 18:19,TH-21,Ban Khai,Rayong,Thailand,51,p2,29,1008,80,2.7,147
64,4/26/2023 18:20,TH-50,Chiang Mai,Chiang Mai,Thailand,124,p2,29,983,45,5.66,220
65,4/26/2023 18:20,TH-52,Hang Chat,Lampang,Thailand,72,p2,25,1005,76,1.15,211
